artiest;titel;soort;jaar;label;catalogusnummer;persing;vraagprijs;advies;foto's;discogs
Mario Lanza;The Student Prince;LP;1960;RCA Victor Red Seal, RCA Victor Red Seal;LSC-2339;US;5.0;los of lot;"IMG20260913163424.jpg;IMG20260913163429.jpg";https://www.discogs.com/release/5475331
Mario Molino;I Sogni Del Mare;single;;Arcade Records;ARC 5124;Belgium;3.0;los of lot;"IMG20260913164331.jpg;IMG20260913164336.jpg";https://www.discogs.com/release/25271869
Marv Johnson;I Miss You Baby (How I Miss You);single;1969;Tamla Motown;5C 006-90735 M;Netherlands;64.5;los verkopen;"IMG20260913165310.jpg;IMG20260913165319.jpg";https://www.discogs.com/release/10237667
Matt Monro;Alguien Cantó;single;1968;Capitol Records;CSL 2318;Spain;3.0;los of lot;"IMG20260913165003.jpg;IMG20260913165006.jpg";https://www.discogs.com/release/6417251
Michael Jackson;The Best Of Michael Jackson - The Motown Years;LP;1981;Motown, Vogue;523031;France & Benelux;5.0;los of lot;"IMG20260913165923.jpg;IMG20260913165927.jpg";https://www.discogs.com/release/450571
Michel Leeb;Le Tombeur;single;1986;Philips;884 636-7;France;3.0;los of lot;"IMG20260913164516.jpg;IMG20260913164551.jpg";https://www.discogs.com/release/4282680
Michel Sardou;20 Chansons D'or;LP;1980;Trema, Trema;310082/83;France;5.0;los of lot;"IMG20260913170640.jpg;IMG20260913170645.jpg;IMG20260913170653.jpg";https://www.discogs.com/release/2793322
Nicole Croisille;Femme...;LP;1975;Spot (2);ST 69 637;France;5.0;los of lot;"IMG20260913170239.jpg;IMG20260913170244.jpg;IMG20260913170300.jpg";https://www.discogs.com/release/5698637
Pablito Y Sus Trovadores Paraguayos;Pablito Y Sus Trovadores Paraguayos;LP;;Palobal;LP 4099;Spain;5.0;los of lot;"IMG20260913163409.jpg;IMG20260913163413.jpg";https://www.discogs.com/release/7932006
Peter Nero, Mike Di Napoli;Starring Peter Nero, Also Featuring The Magic Rhythms Of Mike DiNapoli;LP;1970;Deacon Records;DEA 1017;UK;5.0;los of lot;"IMG20260913161700.jpg;IMG20260913161710.jpg";https://www.discogs.com/release/2773281
Philippe Lavil;Il Tape Sur Des Bambous;single;1982;RCA Victor;PB 8926;France;3.0;los of lot;"IMG20260913164627.jpg;IMG20260913164631.jpg";https://www.discogs.com/release/2196408
Pino Massara;Margherita;maxi;1979;Fleet;600.146;Netherlands;5.0;los of lot;"IMG20260913170138.jpg;IMG20260913170143.jpg";https://www.discogs.com/release/198458
Ralph Clouds, Sophie Blaede, Gérard Pochonet And His Orchestra;Tous Les Garçons Et Les Filles / L'idole Des Jeunes;single;1963;Panorama (4);17.335;France;16.5;los verkopen;"IMG20260913164838.jpg;IMG20260913164845.jpg";https://www.discogs.com/release/6985104
Ringo Starr;Ringo's Rotogravure;LP;1976;Polydor;2310 473;Germany;5.0;los of lot;"IMG20260913163646.jpg;IMG20260913163651.jpg;IMG20260913163702.jpg";https://www.discogs.com/release/8411037
Sam Cooke;The Man And His Music;LP;1986;RCA;PL 87127(2);Europe;5.0;los of lot;"IMG20260913161839.jpg;IMG20260913161846.jpg;IMG20260913161905.jpg";https://www.discogs.com/release/671832
Shirley Bassey;Something;LP;1970;United Artists Records, United Artists Records;UAS 29100;France;7.5;los of lot;"IMG20260913161928.jpg;IMG20260913161940.jpg";https://www.discogs.com/release/11512170
Shirley Bassey;The Shirley Bassey Collection;LP;1972;United Artists Records;5C184-93 614/15;Netherlands;5.0;los of lot;"IMG20260913162736.jpg;IMG20260913162742.jpg;IMG20260913162754.jpg";https://www.discogs.com/release/8012748
Slade;The Bangin' Man;single;1974;Polydor;2058 492;Belgium;3.0;los of lot;"IMG20260913170151.jpg;IMG20260913170154.jpg";https://www.discogs.com/release/3272477
